game_id,player_id,player_name_ko,team_name_ko,main_position,shots,shots_on_target,goals,passes_total,passes_successful,passes_failed,carries,tackles_total,tackles_successful,interceptions,blocks,clearances,recoveries,duels_total,duels_won,carries_progressive,assists,key_passes,fantasy_score
126284,215818.0,송민규,전북 현대 모터스,LW,2,0,0,31,28,3,26,3,0,1,0,0,5,5,5,5,1,2,23.550000000000004
126284,246402.0,박진섭,전북 현대 모터스,CB,0,0,0,68,64,4,26,5,1,7,2,4,17,8,8,3,0,0,36.300000000000004
126284,250172.0,김인균,대전 하나 시티즌,LW,0,0,0,7,7,0,5,0,0,0,0,0,1,2,2,0,0,1,5.25
126284,250183.0,레안드로,대전 하나 시티즌,CF,0,0,0,16,10,6,12,1,1,0,0,2,7,2,2,0,0,1,9.9
126284,354791.0,정태욱,전북 현대 모터스,CB,2,0,0,65,62,3,29,3,1,8,2,8,6,6,6,5,0,2,41.699999999999996
126284,354793.0,이동준,전북 현대 모터스,RW,1,0,0,6,6,0,6,0,0,1,1,1,1,2,2,0,0,1,9.2
126284,354804.0,이규동,전북 현대 모터스,CF,1,0,0,13,10,3,6,2,0,2,3,0,1,0,0,0,0,0,7.8500000000000005
126284,357156.0,이동원,대전 하나 시티즌,CM,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.8
126284,412010.0,구텍,대전 하나 시티즌,CF,4,0,1,23,15,8,16,1,1,2,2,2,5,11,11,0,0,0,35.9
126284,413675.0,안현범,전북 현대 모터스,RB,1,0,1,5,2,3,3,1,0,1,0,1,4,0,0,0,0,0,14.099999999999998
126284,491833.0,티아고,전북 현대 모터스,CF,2,0,0,13,11,2,16,1,0,1,1,1,3,11,11,3,0,1,21.299999999999997
126284,491837.0,김태환,전북 현대 모터스,RB,0,0,0,57,48,9,34,2,0,0,0,2,16,3,3,13,0,0,18.150000000000002
126284,500430.0,이영재,전북 현대 모터스,CM,2,0,0,46,38,8,21,2,2,7,2,0,9,3,3,2,0,0,28.25
126284,500465.0,박진성,대전 하나 시티즌,LWB,0,0,0,15,11,4,5,0,0,9,1,11,5,6,6,1,0,0,28.95
126284,500476.0,이정택,대전 하나 시티즌,CB,0,0,0,18,13,5,4,2,1,6,1,5,2,5,5,0,0,0,20.549999999999997
126284,500478.0,이순민,대전 하나 시티즌,CM,0,0,0,36,27,9,18,4,1,11,4,6,13,7,7,0,0,0,38.15
126284,500480.0,김준범,대전 하나 시티즌,CF,1,0,0,24,20,4,9,1,0,0,2,2,9,1,1,0,1,2,18.65
126284,500481.0,김승대,대전 하나 시티즌,CF,0,0,0,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0.85
126284,500484.0,아론,대전 하나 시티즌,CB,0,0,0,38,30,8,20,1,1,6,3,4,7,3,3,0,0,0,24.200000000000003
126284,500486.0,김한서,대전 하나 시티즌,CM,0,0,0,29,25,4,8,2,0,0,0,0,7,1,1,0,0,0,5.199999999999999
126284,500490.0,홍정운,대전 하나 시티즌,CB,0,0,0,21,17,4,3,2,0,3,3,6,9,1,1,0,0,0,15.25
126285,62009.0,박동진,FC서울,CF,0,0,0,20,14,6,6,4,0,3,1,2,2,0,0,0,0,0,7.3
126285,62038.0,조영욱,FC서울,CF,1,0,0,7,6,1,5,0,0,0,0,0,0,1,1,0,0,0,2.8
126285,62365.0,안영규,광주FC,CB,0,0,0,41,35,6,23,1,1,5,1,4,5,4,4,3,0,0,22.75
126285,62386.0,두현석,광주FC,RB,0,0,0,28,24,4,13,2,0,4,2,3,6,1,1,1,0,0,14.850000000000001
126285,77414.0,이희균,광주FC,CM,3,0,1,22,19,3,17,1,0,1,0,0,5,1,1,4,0,2,24.5
126285,77579.0,김주성,FC서울,CB,0,0,0,80,75,5,33,1,0,5,3,7,10,5,5,0,0,0,30.6
126285,139210.0,김진야,FC서울,LB,0,0,0,19,16,3,6,3,0,5,1,3,1,1,1,0,0,0,12.15
126285,143410.0,한승규,FC서울,CM,0,0,0,65,60,5,25,3,0,2,0,1,15,6,6,0,0,0,20.1
126285,145703.0,허율,광주FC,CF,0,0,0,4,4,0,3,0,0,0,2,0,4,0,0,0,0,0,3.75
126285,161110.0,기성용,FC서울,CM,1,0,0,56,50,6,32,5,0,1,1,2,7,3,3,1,0,0,14.700000000000001
